,Accession number,UniProt Annotation Status,Description,Cluster numbers
31,A0A0J0XSE4,TrEMBL,Uncharacterized protein ,1
32,A0A0K2UGY0,TrEMBL,Histone acetyltransferase KAT2Alike [Bombyx mori] ,1
33,A0A0K3CBS3,TrEMBL,FGENESH: predicted gene_3.307 protein ,1
34,A0A1S8WXD3,TrEMBL,Bromodomain protein ,1
35,A0A226NRV5,TrEMBL,Uncharacterized protein ,1
36,A0A0L0FCV7,TrEMBL,Uncharacterized protein ,1
37,A0A131XYH7,TrEMBL,Putative histone acetyltransferase saga/ada catalytic subunit pcaf/gcn5 ,1
38,A0A0A9YXB3,TrEMBL,Histone acetyltransferase GCN5 ,1
39,A0A1S8VK09,TrEMBL,Uncharacterized protein ,1
40,A0A0L0D5Q4,TrEMBL,Uncharacterized protein ,1
41,A0A0L0CXE1,TrEMBL,Histone acetyltransferase ,1
42,A0A1S8A702,TrEMBL,Putative histone acetyltransferase GCN5 ,1
43,G4TAH4,TrEMBL,Related to putative histone acetylase ,1
44,A0A132AG78,TrEMBL,Histone acetyltransferase KAT2B-like protein ,1
45,A0A238C0R8,TrEMBL,Bromodomain protein ,1
46,A0A238FD10,TrEMBL,BQ2448_1395 protein ,1
47,W4G526,TrEMBL,Uncharacterized protein ,1
48,A0A250XD24,TrEMBL,Uncharacterized protein ,1
49,A0A0K9RKF0,TrEMBL,Uncharacterized protein ,1
50,A0A1S3ZJC0,TrEMBL,histone acetyltransferase GCN5-like isoform X1 ,1
51,G3JT24,TrEMBL,Histone acetyltransferase GCN5 ,1
52,A0A261Y6B5,TrEMBL,Uncharacterized protein ,1
53,S8AHZ8,TrEMBL,Uncharacterized protein ,1
54,A0A1S3J1M1,TrEMBL,histone acetyltransferase KAT2B ,1
55,A0A0B7AGV5,TrEMBL,Uncharacterized protein ,1
56,K5W5U8,TrEMBL,Uncharacterized protein ,1
57,W4KH95,TrEMBL,Uncharacterized protein ,1
58,A0A137PGI1,TrEMBL,Histone acetyltransferase GCN5 ,1
59,A0A024UBC1,TrEMBL,Uncharacterized protein ,1
60,W4XAH6,TrEMBL,Uncharacterized protein ,1
61,S7W733,TrEMBL,Bromodomain protein ,1
62,A0A267H755,TrEMBL,Uncharacterized protein ,1
63,K5WYU6,TrEMBL,Uncharacterized protein ,1
64,A2EGV5,TrEMBL,Acetyltransferase,1
65,A0A150GDM3,TrEMBL,Uncharacterized protein ,1
66,W6MT33,TrEMBL,Uncharacterized protein ,1
67,A7RXH0,TrEMBL,Predicted protein ,1
68,A0A1K9ZTL6,TrEMBL,Histone acetyltransferase GCN5,1
69,A0A1J8QBT6,TrEMBL,Uncharacterized protein ,1
70,A0A0G4FPG0,TrEMBL,Uncharacterized protein ,1
71,A0A1J5XDB2,TrEMBL,Histone acetyltransferase GCN5 ,1
72,A7TK61,TrEMBL,Uncharacterized protein ,1
73,A0A0G4ESQ7,TrEMBL,Uncharacterized protein ,1
74,A0A0G4ERX9,TrEMBL,Uncharacterized protein ,1
75,A0A1J4MJA6,TrEMBL,GCN5 like acetylase ,1
76,A0A0G4ED99,TrEMBL,Uncharacterized protein ,1
77,M1VIN4,TrEMBL,Probable histone acetyltransferase GCN5 ,1
78,A0A1J4KZS6,TrEMBL,Histone acetyltransferase gcn5 ,1
79,A0A0G2H7L4,TrEMBL,Putative histone acetyltransferase ,1
80,A0A1J4KVU0,TrEMBL,Histone acetyltransferase GCN5 ,1
81,W9CQ10,TrEMBL,Histone acetyltransferase GCN5 ,1
82,A0A163JP90,TrEMBL,Uncharacterized protein ,1
83,A0A1J4KQ00,TrEMBL,Acetyltransferase,1
84,R7Z5J5,TrEMBL,Uncharacterized protein ,1
85,A0A1J4KNU9,TrEMBL,Acetyltransferase,1
86,W9JCA7,TrEMBL,Histone acetyltransferase ,1
87,A0A165C636,TrEMBL,Bromodomain-domain-containing protein ,1
88,A0A0F9YUG9,TrEMBL,Transcriptional activator ,1
89,A8HY46,TrEMBL,Histone acetyltransferase ,1
90,A0A1J4JU49,TrEMBL,Acetyltransferase,1
91,A8N782,TrEMBL,Histone acetyltransferase NGF-1 ,1
92,W9QM60,TrEMBL,Histone acetyltransferase GCN5 ,1
93,A0A060Y2S7,TrEMBL,Uncharacterized protein ,1
94,A0A1J4J7Q9,TrEMBL,Histone acetyltransferase gcn5 ,1
95,A0A1J3FI79,TrEMBL,Histone acetyltransferase GCN5 ,1
96,A0A158R020,TrEMBL,Uncharacterized protein ,1
97,A0A158QMS9,TrEMBL,Uncharacterized protein ,1
98,A6ZUR0,TrEMBL,Uncharacterized protein ,1
99,A0A1L7TBF7,TrEMBL,Probable histone acetyltransferase ,1
100,A2EQ31,TrEMBL,Acetyltransferase,1
101,A2ERK7,TrEMBL,Acetyltransferase,1
102,A0A0H5RPA1,TrEMBL,Uncharacterized protein ,1
103,A0A1M2W7G6,TrEMBL,Histone acetyltransferase GCN5 ,1
104,A0A0H5R9S3,TrEMBL,Uncharacterized protein ,1
105,A2FYQ3,TrEMBL,Acetyltransferase,1
106,W6UTF7,TrEMBL,Histone acetyltransferase KAT2B ,1
107,A2G027,TrEMBL,Acetyltransferase,1
108,L7J846,TrEMBL,Histone acetyltransferase GCN5 ,1
109,A0A086J4J9,TrEMBL,Uncharacterized protein ,1
110,A0A0H2RZD6,TrEMBL,Histone acetyltransferase GCN5 ,1
111,A0A151HS00,TrEMBL,Histone lysine acetyltransferase GCN5-B ,1
112,A0A151LNR5,TrEMBL,Histone acetyltransferase GCN5 ,1
113,A4S1D1,TrEMBL,Uncharacterized protein ,1
114,K3WUL4,TrEMBL,Uncharacterized protein ,1
115,A0A151PCM0,TrEMBL,Putative ATP-dependent RNA helicase DHX58 isoform E ,1
116,A5AI94,TrEMBL,Uncharacterized protein ,1
117,L8GG22,TrEMBL,Bromodomain containing protein ,1
118,A0A151SIY1,TrEMBL,Histone acetyltransferase GCN5 ,1
119,L8GSZ1,TrEMBL,Bromodomain domain containing protein ,1
120,W7HUX0,TrEMBL,Uncharacterized protein ,1
121,S2JXF0,TrEMBL,Uncharacterized protein ,1
122,A0A0G4IXJ8,TrEMBL,Uncharacterized protein ,1
123,A0A151ZGQ8,TrEMBL,Bromodomain-containing protein ,1
124,L8WJS8,TrEMBL,MFS amino acid permease ,1
125,A0A1L8DX13,TrEMBL,Putative histone acetyltransferase saga/ada catalytic subunit pcaf/gcn5 ,1
126,R9AGS9,TrEMBL,Histone acetyltransferase GCN5 ,1
127,I0YSL9,TrEMBL,Uncharacterized protein ,1
128,W7TL82,TrEMBL,Histone acetyltransferase ,1
129,A0A1L7WQ18,TrEMBL,Probable histone acetyltransferase ,1
130,W7ADE5,TrEMBL,Histone acetyltransferase ,1
131,A0A226EU50,TrEMBL,Histone acetyltransferase KAT2B ,1
132,A0A1U7LUC6,TrEMBL,Histone acetyltransferase GCN5 ,1
133,A0A1U8L6N7,TrEMBL,histone acetyltransferase GCN5-like ,1
134,A0A1X6PF85,TrEMBL,Uncharacterized protein ,1
135,A0A0P7B4V9,TrEMBL,Histone acetyltransferase GCN5 ,1
136,H3F970,TrEMBL,Uncharacterized protein ,1
137,A0A1X2ID35,TrEMBL,Uncharacterized protein ,1
138,A0A1X2I0T7,TrEMBL,Uncharacterized protein ,1
139,A0A0B4G3D4,TrEMBL,Histone acetyltransferase GCN5 ,1
140,V6LEM8,TrEMBL,Histone acetyltransferase GCN5 ,1
141,A0A1Y2FR23,TrEMBL,Histone acetyltransferase GCN5 ,1
142,A0A1Y2FZS0,TrEMBL,Uncharacterized protein ,1
143,U4UHX1,TrEMBL,Uncharacterized protein ,1
144,A0A1X2GYP5,TrEMBL,Uncharacterized protein ,1
145,V6TUC5,TrEMBL,Histone acetyltransferase,1
146,A0A061H9Z7,TrEMBL,Uncharacterized protein ,1
147,A0A075AMI4,TrEMBL,Acyl-CoA N-acyltransferase domain-containing protein ,1
148,A0A0B4GTH0,TrEMBL,Histone acetyltransferase GCN5-like protein ,1
149,A0A0R0LWB0,TrEMBL,Histone acetyltransferase SAGA/ADA,1
150,A0A0M4EZW8,TrEMBL,Pcaf ,1
151,V8N8Q3,TrEMBL,Alpha-N-acetylglucosaminidase ,1
152,A0A0R3PDM2,TrEMBL,Uncharacterized protein ,1
153,A0A0B1T0E0,TrEMBL,Bromodomain protein ,1
154,A0A0R3QP26,TrEMBL,Uncharacterized protein ,1
155,A0A0R3RVB4,TrEMBL,Uncharacterized protein ,1
156,H2Z2H4,TrEMBL,Uncharacterized protein ,1
157,H2Z2H2,TrEMBL,Uncharacterized protein ,1
158,H2Z2H0,TrEMBL,Uncharacterized protein ,1
159,A0A1Y2HWB9,TrEMBL,Bromodomain-containing protein ,1
160,A0A0R3SD11,TrEMBL,Uncharacterized protein ,1
161,H2PBC4,TrEMBL,Lysine acetyltransferase 2B ,1
162,A0A0R3U110,TrEMBL,Uncharacterized protein ,1
163,A0A1X7VMI4,TrEMBL,Uncharacterized protein ,1
164,U5H8J2,TrEMBL,Uncharacterized protein ,1
165,A0A0N1HDI2,TrEMBL,Histone acetyltransferase GCN5 ,1
166,A0A0B2UKL9,TrEMBL,Chromatin remodeling transcription factor ,1
167,I1BRY6,TrEMBL,Uncharacterized protein ,1
168,A0A1Y1W7U2,TrEMBL,Putative histone acetyltransferase ,1
169,A0A061RH03,TrEMBL,Histone acetyltransferase ,1
170,A0A1Y1XM35,TrEMBL,Putative histone acetyltransferase ,1
171,A0A0N4YP28,TrEMBL,Uncharacterized protein ,1
172,V2YXV9,TrEMBL,Histone gcn5 superfamily ,1
173,A0A0N5D4F2,TrEMBL,Uncharacterized protein ,1
174,A0A0B2VZX1,TrEMBL,Histone acetyltransferase KAT2B ,1
175,A0A0N4X1V5,TrEMBL,Uncharacterized protein ,1
176,A0A1Y1UGI9,TrEMBL,Uncharacterized protein ,1
177,A0A0N4VDB0,TrEMBL,Uncharacterized protein ,1
178,A0A0N8EMW9,TrEMBL,Histone acetyltransferase KAT2A ,1
179,A0A1Y1SAB0,TrEMBL,Transcriptional activator ,1
180,I2FRS6,TrEMBL,Probable histone acetylase ,1
181,A0A0M0JF68,TrEMBL,Histone acetyltransferase ,1
182,A0A024GMF7,TrEMBL,Uncharacterized protein ,1
183,A0A0P1BKE9,TrEMBL,Histone acetyltransferase gcn5 ,1
184,A0A1Y2BGX6,TrEMBL,Uncharacterized protein ,1
185,A0A0B2UU45,TrEMBL,Histone acetyltransferase KAT2B ,1
186,A0A1Y1JFY7,TrEMBL,Histone acetyltransferase GCN5 ,1
187,U6M1R1,TrEMBL,Histone acetyltransferase GCN5,1
188,A0A1Y2CX40,TrEMBL,Acyl-CoA N-acyltransferase ,1
189,A0A1Y2D5I1,TrEMBL,Uncharacterized protein ,1
190,A0A1Y2D8J7,TrEMBL,Acyl-CoA N-acyltransferase ,1
191,U6LTG3,TrEMBL,Histone acetyltransferase GCN5,1
192,I2H252,TrEMBL,Uncharacterized protein ,1
193,A0A0N4U3Q8,TrEMBL,Uncharacterized protein ,1
194,U6GIU0,TrEMBL,Histone acetyltransferase GCN5,1
195,A0A0N1ISX5,TrEMBL,Histone acetyltransferase KAT2A ,1
196,U6G9G5,TrEMBL,Histone acetyltransferase GCN5,1
197,A0A1Y1KV68,TrEMBL,Uncharacterized protein ,1
198,A8PYS2,TrEMBL,Uncharacterized protein ,1
199,A0A077KQW1,TrEMBL,Histone acetyltransferase gcn5 ,1
200,H2LFT9,TrEMBL,Histone acetyltransferase ,1
201,G8YFS7,TrEMBL,Piso0_002719 protein ,1
202,A0A0V1M5E9,TrEMBL,Histone acetyltransferase KAT2A ,1
203,A0A0W0CE61,TrEMBL,Histone acetyltransferase GCN5 ,1
204,J9IT18,TrEMBL,Histone acetyltransferase gcn5 ,1
205,T0LJP7,TrEMBL,Uncharacterized protein ,1
206,A0A0L0RWR7,TrEMBL,Uncharacterized protein ,1
207,A0A0W0FH79,TrEMBL,Uncharacterized protein ,1
208,A0A212D764,TrEMBL,Uncharacterized protein ,1
209,A0A023B6M5,TrEMBL,Putative histone acetyltransferase GCN5 ,1
210,A0A212EJJ7,TrEMBL,Histone acetyltransferase KAT2A like protein ,1
211,J9JWJ9,TrEMBL,Uncharacterized protein ,1
212,A0A1V9XT55,TrEMBL,Histone acetyltransferase KAT2B-like ,1
213,A0A0L0P5A2,TrEMBL,Histone acetyltransferase gcn5 ,1
214,S9XHZ8,TrEMBL,Histone acetyltransferase KAT2A ,1
215,G8BX22,TrEMBL,Uncharacterized protein ,1
216,A0A078K5F1,TrEMBL,Histone acetyltransferase GCN5,1
217,A0A066VIB4,TrEMBL,Bromodomain-domain-containing protein ,1
218,A0A0W4ZUQ0,TrEMBL,Uncharacterized protein ,1
219,A0A081A5J5,TrEMBL,Uncharacterized protein ,1
220,A0A1V6YSB2,TrEMBL,Uncharacterized protein ,1
221,G7LEM3,TrEMBL,Histone acetyltransferase GCN5 ,1
222,K0RT38,TrEMBL,Uncharacterized protein ,1
223,A0A0L0HSJ6,TrEMBL,Uncharacterized protein ,1
224,S9R376,TrEMBL,SAGA complex histone acetyltransferase subunit Gcn5 ,1
225,A0A081IB31,TrEMBL,Histone acetyltransferase ,1
226,S8GIK3,TrEMBL,Histone lysine acetyltransferase GCN5-A ,1
227,G7DXW7,TrEMBL,Uncharacterized protein ,1
228,A0A0X3PG60,TrEMBL,Uncharacterized protein ,1
229,A0A100IIM1,TrEMBL,Histone acetyltransferase Gcn5 ,1
230,A0A0V1JAV1,TrEMBL,Histone acetyltransferase KAT2A ,1
231,T0S2M0,TrEMBL,Uncharacterized protein ,1
232,A0A0V1BJB4,TrEMBL,Histone acetyltransferase KAT2A ,1
233,J8ZPT4,TrEMBL,Uncharacterized protein ,1
234,A0A0L9T3I8,TrEMBL,Uncharacterized protein ,1
235,A0A1X0QTY6,TrEMBL,Uncharacterized protein ,1
236,A0A1X0QG70,TrEMBL,GCN5 ,1
237,A0A1W5CS46,TrEMBL,Histone acetyltransferase ,1
238,J4G4G4,TrEMBL,Uncharacterized protein ,1
239,T2M7Q0,TrEMBL,Histone acetyltransferase KAT2B ,1
240,A0A0L8HFF6,TrEMBL,Uncharacterized protein ,1
241,W1P3C7,TrEMBL,Uncharacterized protein ,1
242,A0A1Y2VVS5,TrEMBL,Uncharacterized protein ,1
243,A0A0L7M245,TrEMBL,Uncharacterized protein ,1
244,A0A074S049,TrEMBL,Histone acetyltransferase GCN5 ,1
245,T1JT99,TrEMBL,Uncharacterized protein ,1
246,A0A0B1S0Y1,TrEMBL,Bromodomain protein ,1
247,A0A0L6WBH5,TrEMBL,Histone acetyltransferase gcn5 ,1
248,A0A1X1BQA0,TrEMBL,Histone acetyltransferase GCN5 ,1
249,A0A023F2G0,TrEMBL,Putative histone acetyltransferase saga/ada catalytic subunit pcaf/gcn5 ,1
250,A0A1Y3BSJ4,TrEMBL,Uncharacterized protein ,1
251,A0A1Y3DUT0,TrEMBL,Putative Histone acetyltransferase GCN5 ,1
252,A0A1W2WAH1,TrEMBL,histone acetyltransferase KAT2A ,1
253,T1IEL5,TrEMBL,Histone acetyltransferase ,1
254,A0A077Z479,TrEMBL,Histone acetyltransferase KAT2A ,1
255,A0A0U9I6X7,TrEMBL,Histone acetyltransferase ,1
256,A0A1Z5KNF0,TrEMBL,Histone acetyltransferase ,1
257,A0A1W0E609,TrEMBL,GCN5 ,1
258,J5R014,TrEMBL,Transcriptional activator Gcn5 ,1
259,T1GT86,TrEMBL,Uncharacterized protein ,1
260,A0A078AIP6,TrEMBL,Histone acetyltransferase gcn5-like ,1
261,T1G2W3,TrEMBL,Uncharacterized protein ,1
262,A0A200Q4G2,TrEMBL,GNAT domain ,1
263,A0A0V0R0T9,TrEMBL,Bromodomain ,1
264,A0A1Y3BKK4,TrEMBL,Histone acetyltransferase KAT2B-like protein ,1
265,R7UUL5,TrEMBL,Uncharacterized protein ,1
266,L9JWK3,TrEMBL,Histone acetyltransferase KAT2A ,1
267,A0A0N5AJE3,TrEMBL,Uncharacterized protein ,1
268,M7UCV2,TrEMBL,Putative histone acetyltransferase gcn5 protein ,1
269,A0A194UZM8,TrEMBL,Histone acetyltransferase GCN5 ,1
270,A0A0D6LFZ8,TrEMBL,Bromodomain protein ,1
271,A0A059LFY4,TrEMBL,Uncharacterized protein ,1
272,M7WB00,TrEMBL,Acetyltransferase,1
273,B6K151,TrEMBL,SAGA complex histone acetyltransferase subunit Gcn5 ,1
274,Q92831,SwissProt,Histone acetyltransferase KAT2B,1
275,A0A1B7TGK4,TrEMBL,Uncharacterized protein ,1
276,F0Y7Z0,TrEMBL,Putative histone acetyltransferase ,1
277,Q92830,SwissProt,Histone acetyltransferase KAT2A,1
279,A0A194PXZ4,TrEMBL,Histone acetyltransferase KAT2A ,1
280,Q8WZM0,SwissProt,Histone acetyltransferase GCN5,1
281,C7ZBJ0,TrEMBL,GCN5-related N-acetyltransferase ,1
282,A0A1E3PLZ4,TrEMBL,Uncharacterized protein ,1
283,B7PUT4,TrEMBL,Histone acetyltransferase ,1
284,B7XJ12,TrEMBL,Transcription factor ,1
285,Q8SR12,TrEMBL,TRANSCRIPTIONAL ACTIVATOR ,1
286,A0A1B9HAM6,TrEMBL,Histone acetyltransferase ,1
287,A0A178F5J3,TrEMBL,Histone acetyltransferase ,1
288,A0A014MTV5,TrEMBL,Bromodomain and acetyltransferase domain protein ,1
289,Q9AR19,SwissProt,Histone acetyltransferase GCN5 ShortAtGCN5,1
290,A0A0D3HDN8,TrEMBL,Uncharacterized protein ,1
291,A0A067RD75,TrEMBL,Histone acetyltransferase KAT2A ,1
292,A0A098VXE9,TrEMBL,Histone acetyltransferase Gcn5 ,1
293,A0A0D7BVC3,TrEMBL,Uncharacterized protein ,1
294,F4RF45,TrEMBL,Uncharacterized protein ,1
295,A0A195C6P0,TrEMBL,Histone acetyltransferase KAT2A ,1
296,B4L5X3,TrEMBL,Uncharacterized protein ,1
297,A0A099P7B8,TrEMBL,Histone acetyltransferase GCN5 ,1
299,F4PT47,TrEMBL,WD40 repeat-containing protein ,1
300,A0A177EID6,TrEMBL,Histone acetyltransferase ,1
301,A0A177T9X2,TrEMBL,Uncharacterized protein ,1
302,D2VBF3,TrEMBL,Histone acetyltransferase gcn5 ,1
303,A0A0C4EVV6,TrEMBL,Uncharacterized protein ,1
304,F4P5R7,TrEMBL,Uncharacterized protein ,1
305,A0A0C2WVW6,TrEMBL,Uncharacterized protein ,1
306,A0A0C7BJX8,TrEMBL,Uncharacterized protein ,1
307,Q9JHD1,SwissProt,Histone acetyltransferase KAT2B,1
308,A0A0D7AGT9,TrEMBL,Bromodomain-domain-containing protein ,1
309,B4N335,TrEMBL,Uncharacterized protein ,1
310,A0A0C9MR09,TrEMBL,Uncharacterized protein ,1
311,Q54R05,TrEMBL,Histone acetyl transferase ,1
312,A0A1E3Q4G5,TrEMBL,Uncharacterized protein ,1
313,M7U6Z1,TrEMBL,Putative histone acetyltransferase gcn5 protein ,1
314,B6AFZ8,TrEMBL,Histone acetyltransferase protein,1
315,A0A0C9YPJ6,TrEMBL,Unplaced genomic scaffold K443scaffold_2,1
316,E4V5F5,TrEMBL,Histone acetyltransferase GCN5 ,1
317,B8LPU6,TrEMBL,Uncharacterized protein ,1
318,A0A182RT15,TrEMBL,Histone acetyltransferase ,1
319,A0A1D3D3B7,TrEMBL,Histone acetyltransferase ,1
320,A0A1D2VKM0,TrEMBL,Putative subunit of histone acetyltransferase complex ,1
321,A0A183AMJ0,TrEMBL,Uncharacterized protein ,1
323,A0A183BHU2,TrEMBL,Uncharacterized protein ,1
324,A0A183NF74,TrEMBL,Uncharacterized protein ,1
325,Q6FTW5,SwissProt,Histone acetyltransferase GCN5,1
326,A0A1D1ZRV0,TrEMBL,Uncharacterized protein ,1
328,C3XQF6,TrEMBL,Uncharacterized protein ,1
329,A0A015IEK5,TrEMBL,Gcn5p ,1
330,A0A067Q2T8,TrEMBL,Uncharacterized protein ,1
331,A0A183DIX9,TrEMBL,Uncharacterized protein ,1
332,Q6CXW4,SwissProt,Histone acetyltransferase GCN5,1
333,Q6BGW1,SwissProt,Histone acetyltransferase GCN5,1
334,A0A1D2MJQ5,TrEMBL,Histone acetyltransferase KAT2B ,1
335,A0A1D2N899,TrEMBL,Histone acetyltransferase KAT2A ,1
336,A0A183I9G5,TrEMBL,Uncharacterized protein ,1
337,A0A015J4R4,TrEMBL,Gcn5p ,1
338,A0A183H1Y2,TrEMBL,Uncharacterized protein ,1
339,A0A0D2L248,TrEMBL,Uncharacterized protein ,1
340,A0A1D1XFN7,TrEMBL,Histone acetyltransferase GCN5 ,1
341,A0A1D3D9K0,TrEMBL,Histone acetyltransferase gcn5 related protein ,1
342,C1E430,TrEMBL,Histone acetyltransferase ,1
343,A0A1B9IYS5,TrEMBL,Histone acetyltransferase ,1
344,A0A095C117,TrEMBL,Histone acetyltransferase ,1
345,A0A1E3I0H8,TrEMBL,Uncharacterized protein ,1
346,C5LC44,TrEMBL,Histone acetyltransferase gcn5,1
347,A0A0D0DUY2,TrEMBL,Unplaced genomic scaffold scaffold_74,1
348,F0VE83,TrEMBL,Bromodomain containing protein,1
349,Q7YXI4,TrEMBL,General control nonrepressed 5 ,1
350,A0A0F7USK8,TrEMBL,Histone acetyltransferase GCN5,1
351,F0V9J0,TrEMBL,Histone acetyltransferase GCN5,1
352,B8LXJ5,TrEMBL,Histone acetyltransferase (Gcn5),1
353,A0A196SC11,TrEMBL,Histone acetyltransferase ,1
354,A0A1D9Q0V6,TrEMBL,Uncharacterized protein ,1
355,A0A1C7NAZ4,TrEMBL,Histone acetyltransferase GCN5 ,1
356,F0UFI8,TrEMBL,Histone acetyltransferase ,1
357,Q03330,SwissProt,Histone acetyltransferase GCN5,1
358,A0A182KZQ5,TrEMBL,Histone acetyltransferase ,1
359,Q756G9,SwissProt,Histone acetyltransferase GCN5,1
360,A0A1D3S6X9,TrEMBL,Alpha/beta hydrolase,1
361,A0A1D3KXT3,TrEMBL,Histone acetyltransferase GCN5,1
362,A0A1D3JL91,TrEMBL,Histone acetyltransferase GCN5,1
363,E9H234,TrEMBL,Uncharacterized protein ,1
364,C5KHK5,TrEMBL,Histone acetyltransferase GCN5,1
366,A0A1B6DZV6,TrEMBL,Uncharacterized protein ,1
367,Q9JHD2,SwissProt,Histone acetyltransferase KAT2A ,1
368,C4JQH4,TrEMBL,Histone acetyltransferase GCN5 ,1
369,A0A1A6A4T4,TrEMBL,Histone acetyltransferase ,1
370,A0A067N1K4,TrEMBL,Uncharacterized protein ,1
371,A0A1I7S2W7,TrEMBL,Uncharacterized protein ,1
372,A0A167I985,TrEMBL,Histone acetyltransferase GCN5 ,1
373,A9URQ8,TrEMBL,Predicted protein ,1
374,A0A1J1GMA0,TrEMBL,Histone acetyltransferase GCN5,1
375,R1C438,TrEMBL,Uncharacterized protein ,1
376,A0A1A8YKS1,TrEMBL,Histone acetyltransferase GCN5,1
377,A0A060XU07,TrEMBL,Uncharacterized protein ,1
378,A0A0E9NBN6,TrEMBL,Uncharacterized protein ,1
380,A0A0C3M4A7,TrEMBL,Uncharacterized protein ,1
381,A0A167LDG6,TrEMBL,Uncharacterized protein ,1
382,A0A165TGW6,TrEMBL,Histone acetyltransferase GCN5 ,1
383,A0A0F2MMA4,TrEMBL,Histone acetyltransferase ,1
384,R0MKR5,TrEMBL,Histone acetyltransferase gcn5 ,1
385,M4B2H9,TrEMBL,Uncharacterized protein ,1
386,A0A0C3GKB9,TrEMBL,Uncharacterized protein ,1
387,A0A0C3CM82,TrEMBL,Uncharacterized protein ,1
388,D8QBY6,TrEMBL,Uncharacterized protein ,1
389,A0A087TH22,TrEMBL,Histone acetyltransferase KAT2B ,1
390,D8LTY1,TrEMBL,Uncharacterized protein ,1
391,A0A1I8CM94,TrEMBL,Uncharacterized protein ,1
392,R7Q4P5,TrEMBL,Probable histone acetyltransferase GCN5 ,1
393,A0A166H893,TrEMBL,Uncharacterized protein ,1
394,E0S9S8,TrEMBL,Bromodomain-containing transcriptional activator ,1
395,A0A166JCL7,TrEMBL,Bromodomain-domain-containing protein ,1
396,D8LX52,TrEMBL,Uncharacterized protein ,1
397,A0A0F2LXI6,TrEMBL,Histone acetyltransferase ,1
398,E0VBR8,TrEMBL,Histone acetyltransferase ,1
400,A0A199VKJ8,TrEMBL,Histone acetyltransferase GCN5 ,1
401,M2XZD4,TrEMBL,Histone acetyltransferase ,1
402,A0A1I8AY76,TrEMBL,Uncharacterized protein ,1
403,D8THL6,TrEMBL,Histone acetyltransferase ,1
404,A0A167DM78,TrEMBL,Histone acetyltransferase GCN5 ,1
405,A0A1I7XZK4,TrEMBL,Uncharacterized protein ,1
406,Q338B9,SwissProt,Histone acetyltransferase GCN5,1
407,A0A060T9F4,TrEMBL,ARAD1C37620p ,1
408,B3RQS1,TrEMBL,Uncharacterized protein ,1
409,F7A3N9,TrEMBL,Uncharacterized protein ,1
410,X0JE45,TrEMBL,Uncharacterized protein ,1
411,A0A1B5KSB2,TrEMBL,Uncharacterized protein ,1
412,A0A0B7MW12,TrEMBL,Uncharacterized protein ,1
413,X6P1B3,TrEMBL,Histone acetyltransferase Gcn5 ,1
414,Q9UUK2,SwissProt,Histone acetyltransferase gcn5,1
415,A0A1E4TTL3,TrEMBL,Uncharacterized protein ,1
416,A0A1J1HVK5,TrEMBL,CLUMA_CG005240,1
417,D8R8P6,TrEMBL,Uncharacterized protein HAG1-2 ,1
418,A0A176VZ12,TrEMBL,Uncharacterized protein ,1
419,A0A0D9QS18,TrEMBL,Uncharacterized protein ,1
